,0,1
0,"Рыночная оценка акций Норникеля остается низкой: коэффициент «стоимость предприятия/EBITDA 2022о» составляет 3,9, доходность свободных денежных потоков с учетом прогноза на 2022 год — 14% (с учетом спотовых цен на сырьевые товары и текущего курса рубля к доллару). На наш взгляд, подтверждение сроков, в которые будет восстановлена работа активов, а также повышение производственных прогнозов окажет дополнительную поддержку котировкам акций Норникеля — Sberbank CIBhttp://amp.gs/6xDYМы ожидаем, что пара EUR/USD может вернуться в диапазон 1,2-1,25, который останется для нее актуальным на весь текущий год с возможным выходом вверх в середине года — Промсвязьбанкhttp://amp.gs/6xDtМы повышаем нашу целевую цену по акциям «ПИКа» до 1 200 руб./акц. и подтверждаем нашу рекомендацию «ЛУЧШЕ РЫНКА» — Газпромбанкhttp://amp.gs/6xDmЗа последнюю неделю курс евро вырос чуть менее чем на 1% против доллара, однако если риторика ЕЦБ по итогам заседания в четверг покажется инвесторам мягче ожиданий, может последовать не менее заметная коррекция евро с занятых позиций — Велес Капиталhttp://amp.gs/6xDZ","('P(positive) = 1.00000. Result: ', 'Positive')"
1,"ВСЕМИРНЫЙ БАНК: ОБНОВЛЕНИЕ ПРОГНОЗОВ ПО ТОВАРНЫМ РЫНКАМWorld Bank опубликовал весенний апдейт своего прогноза динамики цен сырьевых рынков April Commodity Markets Outlook, из которых выделим наиболее значимые позиции:Нефть ($ bbl) – $55.7 в 2021 (октябрьский прогноз: $44 в 2021) Газ EU ($ mmbtu) - $5.5 в 2021 (октябрьский прогноз: $4.0 в 2021)Железная руда ($ mt) - $134 в 2021 (октябрьский прогноз: $105 в 2021)Золото ($ oz) - $1690 в 2021 (октябрьский прогноз: $1740 в 2021)https://thedocs.worldbank.org/en/doc/c5de1ea3b3276cf54e7a1dff4e95362b-0350012021/original/CMO-April-2021.pdf","('P(positive) = 0.00066. Result: ', 'Negative')"
2,"Траст подал иск к детскому магазину МамутаБанк Траст подал в Арбитражный суд Москвы еще один иск к компании Вандеркинд (подконтрольна Александру Мамуту, развивает по франшизе сеть магазинов детских игрушек Hamleys), на этот раз сумма требований составила 2,6 млрд рублей.Траст в январе этого года подал в суд Москвы иск к Мамуту из-за невыплаты процентов по кредиту на сумму свыше 1 млрд рублей. Общий долг компаний бизнесмена перед банком составляет порядка 23 млрд рублей, основная его часть приходится на кинобизнес. Обязательства компаний A&amp;NN Investments Limited и Синема парк составляют порядка 19 млрд рублей, они не обслуживаются с марта 2020 года.В конце февраля банк подал иск к Вандеркинд на 500 млн рублей. Он включал в себя только просроченные обязательства по основному долгу. Новый иск подан после отправки требования о досрочном погашении долга компании (2,6 млрд рублей).Ранее Мамут побежал в суд, ссылаясь на сложную ситуацию из-за пандемии, и грозил приостановить деятельность объединенной киносети Формула кино и Синема парк, а также пожаловался в администрацию президента. При этом проблемы с кредитами начались до пандемии - долг/EBITDA у компаний Мамута ""еще несколько лет назад был сильно за гранью нормы"".👉 Будем держать руку на пульсе, и вы не переключайте канал! 👇 @trubapodneglinnoy","('P(positive) = 0.00000. Result: ', 'Negative')"
3,"​​Представляем канал про инвестиции, где авторы пишут емко и по делу. Никакой воды!InveStoryКанал об инвестициях: РФ🇷🇺 / США🇺🇸 .▪️Действующие эксперты крупнейших брокеров России▪️С участием в программах на РБК, конференциях МосБиржиПишут для вас:💰Планы, обзоры: Daily/Weekly💰Инвестиционные идеи💰Ключевые и интересные события в мире финансов💼 Портфельное инвестирование в режиме onlineПоследние сделки:На IT-платформе: Upwork +38.77%На нефти: Occidental +37.64%На финансах: Wells Fargo +18.2%На металлах: ММК +16.31%На публикации отчета за несколько минут: Macy's +10.01%Живут инвестициями 24/7🕚Присоединяйся!🔥@InveStorylife","('P(positive) = 1.00000. Result: ', 'Positive')"
4,"​​Представляем канал про инвестиции, где авторы пишут емко и по делу. Никакой воды!InveStoryКанал об инвестициях: РФ🇷🇺 / США🇺🇸 .▪️Действующие эксперты крупнейших брокеров России▪️С участием в программах на РБК, конференциях МосБиржиПишут для вас:💰Планы, обзоры: Daily/Weekly💰Инвестиционные идеи💰Ключевые и интересные события в мире финансов💼 Портфельное инвестирование в режиме onlineПоследние сделки:На IT-платформе: Upwork +38.77%На нефти: Occidental +37.64%На финансах: Wells Fargo +18.2%На металлах: ММК +16.31%На публикации отчета за несколько минут: Macy's +10.01%Живут инвестициями 24/7🕚Присоединяйся!🔥@InveStorylife","('P(positive) = 1.00000. Result: ', 'Positive')"
5,"🗓 Что было сегодня?⛏ Petropavlovsk в I квартале снизил выпуск золота на 49% - до 95,6 тыс унций #POGR🖨 Опубликована финансовая отчетность ЯТЭК по МСФО за 2020 год #YAKG 🖨 Опубликованны операционные результаты РусГидро за 1 кв 2021💰 Начиная с 2021 года ВТБ вернется к выплате 50% прибыли в виде дивидендов #VTBR #Дивиденды 📞 Новая стратегия Ростелекома нацелена на рост выручки в 2025г до более 700 млрд руб #RTKM🛢 Страны ОПЕК+ выполнили сделку по сокращению добычи нефти в марте на 113%💥 Опубликован уровень безработицы в России за март #Макро #Статистика💥 Опубликован уровень безработицы в России за март #Макро #Статистика","('P(positive) = 0.00229. Result: ', 'Negative')"
6,"🗓 Что было сегодня?⛏ Petropavlovsk в I квартале снизил выпуск золота на 49% - до 95,6 тыс унций #POGR🖨 Опубликована финансовая отчетность ЯТЭК по МСФО за 2020 год #YAKG 🖨 Опубликованны операционные результаты РусГидро за 1 кв 2021💰 Начиная с 2021 года ВТБ вернется к выплате 50% прибыли в виде дивидендов #VTBR #Дивиденды 📞 Новая стратегия Ростелекома нацелена на рост выручки в 2025г до более 700 млрд руб #RTKM🛢 Страны ОПЕК+ выполнили сделку по сокращению добычи нефти в марте на 113%💥 Опубликован уровень безработицы в России за март #Макро #Статистика💥 Опубликован уровень безработицы в России за март #Макро #Статистика","('P(positive) = 0.00229. Result: ', 'Negative')"
7,"🗓 Что было сегодня?⛏ Petropavlovsk в I квартале снизил выпуск золота на 49% - до 95,6 тыс унций #POGR🖨 Опубликована финансовая отчетность ЯТЭК по МСФО за 2020 год #YAKG 🖨 Опубликованны операционные результаты РусГидро за 1 кв 2021💰 Начиная с 2021 года ВТБ вернется к выплате 50% прибыли в виде дивидендов #VTBR #Дивиденды 📞 Новая стратегия Ростелекома нацелена на рост выручки в 2025г до более 700 млрд руб #RTKM🛢 Страны ОПЕК+ выполнили сделку по сокращению добычи нефти в марте на 113%💥 Опубликован уровень безработицы в России за март #Макро #Статистика💥 Опубликован уровень безработицы в России за март #Макро #Статистика","('P(positive) = 0.00229. Result: ', 'Negative')"
8,"🗓 Что было сегодня?⛏ Petropavlovsk в I квартале снизил выпуск золота на 49% - до 95,6 тыс унций #POGR🖨 Опубликована финансовая отчетность ЯТЭК по МСФО за 2020 год #YAKG 🖨 Опубликованны операционные результаты РусГидро за 1 кв 2021💰 Начиная с 2021 года ВТБ вернется к выплате 50% прибыли в виде дивидендов #VTBR #Дивиденды 📞 Новая стратегия Ростелекома нацелена на рост выручки в 2025г до более 700 млрд руб #RTKM🛢 Страны ОПЕК+ выполнили сделку по сокращению добычи нефти в марте на 113%💥 Опубликован уровень безработицы в России за март #Макро #Статистика💥 Опубликован уровень безработицы в России за март #Макро #Статистика","('P(positive) = 0.00229. Result: ', 'Negative')"
9,"🗓 Что было сегодня?⛏ Petropavlovsk в I квартале снизил выпуск золота на 49% - до 95,6 тыс унций #POGR🖨 Опубликована финансовая отчетность ЯТЭК по МСФО за 2020 год #YAKG 🖨 Опубликованны операционные результаты РусГидро за 1 кв 2021💰 Начиная с 2021 года ВТБ вернется к выплате 50% прибыли в виде дивидендов #VTBR #Дивиденды 📞 Новая стратегия Ростелекома нацелена на рост выручки в 2025г до более 700 млрд руб #RTKM🛢 Страны ОПЕК+ выполнили сделку по сокращению добычи нефти в марте на 113%💥 Опубликован уровень безработицы в России за март #Макро #Статистика💥 Опубликован уровень безработицы в России за март #Макро #Статистика","('P(positive) = 0.00229. Result: ', 'Negative')"
